mineralization,SO4,Cl,HCO3,Na,Ca,Mg,K,Ba,Fe,CO2,pH,Eh,t
1450.7,29.56,214.0,164.1,459.9,86.23,14.74,6.38,0.403,0.12,117.7,6.75,178.7,12.9
2438.9,0.05,289.7,368.0,551.8,96.91,46.3,4.25,2.58,1.643,205.3,7.75,,13.4
2241.8,50.36,407.3,308.6,372.3,62.78,43.27,6.2,0.552,0.177,334.1,7.14,288.3,9.9
2014.3,106.64,285.0,182.6,282.4,17.77,40.56,6.1,4.636,4.682,164.1,6.65,350.8,14.6
8597.9,235.54,1648.1,1110.5,1794.0,484.81,12.43,0.05,2.082,4.753,1100.9,7.93,187.5,12.9
3800.9,72.74,388.5,173.6,1046.4,184.26,87.62,0.22,0.401,2.396,403.6,7.25,228.2,11.8
1398.9,50.54,275.0,201.6,297.1,28.94,14.61,5.14,2.337,5.212,107.9,6.67,333.0,11.8
5170.5,119.75,1146.2,682.1,1606.3,151.12,62.76,7.89,4.116,3.337,792.6,5.83,342.7,11.9
10649.8,246.47,855.3,1550.0,1415.7,326.57,384.49,54.46,1.304,3.527,,8.19,273.1,10.3
5538.5,20.08,1100.5,899.0,1214.5,57.27,96.45,27.32,4.488,1.687,364.3,5.61,291.4,14.4
1198.0,28.16,289.2,161.4,173.5,28.33,14.27,5.32,2.116,0.731,166.8,8.09,303.2,13.9
2229.3,79.21,266.4,280.7,539.1,38.62,0.1,14.8,0.777,0.491,297.4,6.58,,14.1
6375.0,47.55,1680.6,540.3,1741.7,202.41,166.5,18.07,6.678,0.793,978.6,7.42,142.9,15.0
1949.6,80.65,391.8,178.4,379.7,49.18,8.26,8.38,0.279,1.98,247.0,8.27,441.7,12.4
3890.5,72.46,563.1,651.5,248.0,29.02,27.13,7.12,1.023,0.379,688.9,5.96,277.4,8.7
4744.7,31.71,840.8,842.0,1100.5,381.72,58.59,37.51,1.358,0.599,545.3,7.2,,13.3
1709.3,59.76,355.4,188.8,420.8,111.19,45.01,11.91,5.866,1.262,186.5,7.79,173.8,13.2
2876.4,45.15,528.7,350.5,702.6,70.24,60.94,8.7,2.629,0.531,233.0,7.77,231.4,15.1
426.3,13.38,88.2,35.7,125.4,19.38,5.86,1.61,2.278,1.777,35.2,7.08,287.7,14.2
1612.2,25.19,216.0,269.1,251.1,77.95,28.16,9.22,0.656,5.132,,7.37,,12.3
2561.8,48.94,482.8,375.6,668.1,163.5,26.12,6.93,1.258,2.757,329.8,7.77,159.9,11.7
1410.0,38.64,154.1,278.7,411.1,33.31,22.72,2.38,0.797,2.196,154.0,8.02,177.5,14.0
7938.2,193.4,1384.7,673.7,899.3,490.92,123.73,37.69,2.215,1.748,1057.6,7.79,122.1,7.0
1263.8,0.05,170.4,132.6,302.3,36.7,28.75,3.99,3.624,1.339,90.5,6.56,260.6,12.5
2289.2,7.28,327.9,295.9,434.4,30.41,52.05,7.71,7.805,0.413,196.4,8.49,242.6,13.9
3224.2,109.43,779.6,470.3,693.6,175.66,61.1,4.29,0.892,4.502,274.4,6.8,392.4,11.8
7078.1,127.53,1660.3,788.3,1704.8,465.85,85.65,0.05,0.268,0.571,1463.5,5.57,137.9,11.2
1259.5,15.3,265.1,107.2,240.3,115.57,26.37,4.37,1.04,0.192,,6.59,273.5,12.6
5990.3,0.05,751.1,930.0,1075.0,95.88,85.45,28.81,3.246,2.773,702.9,5.88,162.0,14.7
2999.3,11.41,492.4,446.4,666.0,161.9,19.03,7.64,0.57,0.386,,5.86,,12.9
1654.2,0.05,398.1,137.9,256.0,52.61,19.48,9.72,1.404,0.93,301.3,6.34,308.8,10.6
3933.4,72.69,735.9,685.3,609.1,218.96,61.66,6.26,2.303,0.057,218.2,5.66,317.1,14.4
3359.1,37.03,994.2,560.3,875.9,35.57,74.85,2.99,0.911,0.295,395.0,7.57,305.2,14.8
2079.5,11.44,415.2,260.7,314.2,30.66,28.14,5.96,1.722,0.38,,5.72,118.4,10.4
3108.5,58.99,589.4,382.9,808.1,76.1,16.56,8.81,0.509,0.112,77.1,6.11,258.4,17.6
2365.7,60.23,389.3,336.3,586.1,98.36,36.56,10.74,3.822,2.138,214.4,5.78,309.7,12.0
3191.1,164.01,595.7,272.9,371.6,86.73,50.76,4.63,1.119,3.628,435.5,5.69,345.2,13.9
4435.0,0.05,764.5,537.5,795.4,235.86,73.12,25.44,1.678,0.935,390.7,6.3,312.8,13.5
7720.3,288.67,1663.0,261.8,2251.6,467.37,172.62,53.53,0.138,4.152,1048.7,7.22,346.5,10.6
1418.4,49.07,323.2,219.9,228.6,73.75,32.84,4.14,0.429,0.48,176.3,8.39,356.7,11.1
10719.5,89.12,1508.2,616.8,2059.6,775.83,109.84,58.95,3.16,0.787,,8.13,260.5,12.1
924.0,21.3,104.8,166.5,228.9,44.65,9.31,0.82,0.898,0.327,157.6,8.13,299.9,8.3
2721.5,35.75,240.0,290.6,726.6,42.62,18.18,14.02,0.54,1.938,261.7,6.03,350.0,13.6
4242.8,96.67,871.5,473.2,869.4,285.41,87.36,21.62,0.239,1.089,,6.29,289.0,8.2
3528.4,150.44,440.5,334.8,649.7,98.43,93.82,16.68,3.766,1.9,168.9,5.73,369.9,12.0
2051.6,59.67,148.4,222.6,626.4,119.42,25.6,6.09,2.537,2.868,,7.84,337.4,10.7
2631.0,72.69,524.7,465.0,853.3,188.05,34.38,0.05,2.401,1.578,288.7,5.71,186.8,13.2
2217.6,30.04,675.6,45.4,618.1,108.96,59.29,3.81,4.954,1.976,161.2,7.17,119.4,7.6
2093.1,0.05,376.1,358.1,471.2,21.09,39.86,3.66,1.024,5.474,284.5,6.24,251.9,8.7
4963.0,83.74,1101.4,662.7,851.2,107.38,91.76,5.18,0.273,0.711,448.9,6.23,,10.8
3693.1,140.7,679.9,264.9,628.5,245.42,20.21,11.98,1.48,0.89,699.0,8.47,258.3,13.0
1967.0,0.05,344.3,151.4,494.4,72.03,40.19,4.25,5.675,2.53,44.5,7.77,249.3,12.4
5114.1,21.34,1155.6,956.6,1253.5,212.7,38.7,6.91,1.508,1.89,664.5,8.01,380.1,14.1
3584.5,78.48,593.2,294.6,1090.0,197.78,21.25,3.16,3.551,0.393,436.3,7.22,300.5,12.2
4854.8,25.39,938.8,358.6,1257.5,261.8,59.35,7.62,0.287,0.944,528.0,8.11,347.8,12.0
4349.3,35.28,852.8,719.8,564.6,198.23,44.86,22.8,0.641,1.262,429.8,7.44,201.0,9.9
1812.8,24.74,265.7,242.1,513.2,64.94,23.98,3.04,3.012,1.087,222.5,8.34,403.0,11.6
2130.0,0.05,489.1,175.7,341.1,71.88,7.4,4.2,1.648,0.393,346.1,6.34,339.4,12.0
4667.5,25.15,799.3,600.5,919.3,266.78,105.81,9.74,1.282,5.165,247.9,7.29,292.7,7.9
4299.4,131.35,611.4,339.5,1010.4,219.57,103.28,15.81,3.513,2.874,377.3,7.57,69.3,10.2
2943.8,1.15,608.9,482.9,1000.1,102.6,0.1,11.52,2.98,1.313,229.6,6.68,367.9,12.9
3198.4,0.05,432.0,519.6,1300.4,197.15,73.01,0.05,1.688,2.279,243.4,8.14,427.3,12.4
6416.3,67.69,1164.0,906.5,1645.2,240.09,54.64,32.36,1.424,4.552,857.9,8.44,251.1,11.5
2090.3,64.76,375.3,281.1,436.9,48.01,45.68,12.28,2.061,0.293,300.1,6.98,253.2,10.8
4139.2,70.56,969.8,788.3,1043.4,102.74,59.82,3.72,0.144,0.576,673.1,6.67,198.3,8.5
2640.4,34.41,537.9,316.8,721.5,53.93,40.21,2.79,2.002,1.565,380.8,6.92,86.8,7.6
2616.0,54.06,467.6,190.2,525.2,90.39,35.37,5.49,3.638,3.209,,8.06,193.8,11.4
5763.3,0.05,1273.0,795.2,1888.7,372.74,142.34,8.58,1.421,0.074,366.1,7.44,415.9,15.0
4891.5,134.13,1220.5,995.1,1143.6,116.9,24.86,16.87,0.471,8.273,,5.63,357.9,12.1
4856.7,125.07,1009.7,385.7,1213.5,212.57,96.47,0.05,0.039,1.214,542.1,7.13,172.7,14.0
6524.3,90.43,1177.7,688.6,1696.0,175.28,155.35,4.99,2.036,0.89,1052.5,5.55,192.2,9.6
3018.8,105.92,345.4,412.5,740.5,105.03,62.58,18.35,0.175,0.693,196.1,7.84,463.5,12.6
4488.0,13.86,568.8,528.9,1213.3,43.98,150.79,5.13,2.385,0.383,495.2,6.48,148.0,10.6
2474.6,91.36,407.7,199.7,452.8,88.07,26.65,13.58,5.472,3.136,,6.92,178.5,10.5
3621.0,80.81,541.4,597.0,675.3,130.81,82.05,13.44,0.675,6.221,438.6,7.9,207.0,13.5
2757.0,41.22,470.5,586.7,424.6,140.07,39.02,0.05,1.146,1.068,247.7,5.64,114.2,11.8
3159.6,62.25,577.7,403.9,778.4,140.49,78.57,13.49,5.707,6.091,544.7,5.98,196.2,9.2
4260.3,78.35,879.7,357.2,1136.4,68.3,63.64,11.78,1.584,3.472,311.6,6.69,197.8,12.2
1824.5,69.89,322.0,105.9,451.5,112.54,21.71,3.81,0.907,1.312,217.5,6.19,159.8,10.6
10461.2,40.27,2137.5,1363.3,3352.5,462.45,266.22,36.51,3.245,2.242,1523.2,6.51,382.8,9.1
1630.1,13.96,298.7,267.6,358.1,71.67,18.04,6.44,0.959,1.142,,8.49,133.3,10.0
1438.7,51.14,116.9,200.0,374.2,57.28,5.32,6.35,0.626,1.636,146.3,7.98,235.8,16.1
5972.2,66.09,794.5,716.1,922.7,177.04,64.89,31.99,2.355,0.12,650.6,8.15,162.3,14.4
4793.4,160.62,828.3,462.2,943.2,212.62,95.64,18.29,3.453,2.383,489.9,8.31,229.0,8.0
4335.0,197.2,518.1,330.8,1134.6,214.63,113.3,1.08,0.621,0.109,561.5,6.52,157.7,11.6
4346.0,60.73,912.6,666.6,1177.5,22.0,69.05,8.92,1.703,3.397,,6.39,257.6,11.8
2959.1,89.43,759.1,463.3,598.8,86.48,75.59,26.3,1.195,3.485,484.5,6.2,282.1,11.5
1740.0,4.69,419.2,101.2,375.3,60.73,7.19,7.74,1.385,0.541,261.4,7.99,,10.7
3119.7,97.71,528.2,572.8,402.2,140.77,35.73,24.14,0.476,0.782,,7.54,191.1,13.5
1985.7,45.65,505.4,283.9,394.3,126.82,25.2,11.5,2.505,1.313,302.9,6.21,411.8,13.9
5351.2,144.99,1003.0,941.7,1463.1,131.45,75.36,18.64,4.622,1.816,661.7,6.63,169.3,14.1
2729.2,28.16,445.3,181.0,694.6,81.99,42.77,9.83,0.605,0.678,408.9,7.02,226.2,12.7
1816.6,0.05,271.3,118.7,454.2,54.04,37.29,5.32,2.504,1.795,276.3,7.08,426.5,13.2
2458.2,67.72,405.3,280.3,548.1,58.92,28.13,0.05,3.186,0.707,455.3,8.17,,11.3
3819.1,0.05,613.3,535.1,841.8,126.24,61.53,11.6,1.692,0.114,404.1,6.64,418.6,8.8
2125.5,32.39,400.7,407.8,383.4,117.79,31.12,11.52,2.417,0.005,208.7,8.23,227.6,8.8
1820.1,62.1,342.2,269.8,476.7,34.44,13.82,3.28,0.687,0.213,251.0,6.82,301.5,10.3
3450.3,78.94,621.6,380.5,846.2,167.53,48.62,13.19,4.426,3.143,577.2,7.74,318.3,11.6
3452.9,169.97,697.0,272.6,861.6,20.59,47.83,16.24,3.474,6.511,422.4,8.29,284.5,9.4
2199.2,77.8,526.8,372.1,414.4,63.28,30.08,2.6,3.787,1.114,373.7,8.22,149.2,9.7
2247.1,22.9,511.2,182.9,204.0,75.07,34.28,4.71,0.384,1.438,,5.67,273.5,11.2
3426.3,69.93,362.3,634.3,979.3,251.82,53.47,3.3,2.169,0.318,383.6,6.12,199.4,13.7
1250.3,24.12,65.4,135.8,239.1,43.14,14.43,1.7,0.744,1.602,178.2,6.93,153.2,12.7
1281.2,0.05,290.5,235.3,215.5,0.5,32.26,0.54,4.716,0.313,,6.79,218.9,10.3
1937.1,11.42,216.3,285.1,506.8,0.5,10.93,2.32,0.62,1.889,250.9,7.42,281.5,12.1
2622.6,30.39,442.6,300.3,515.3,106.69,24.21,15.31,1.753,5.414,202.1,8.33,350.1,9.3
3592.3,0.05,436.4,356.4,1018.8,187.79,133.78,4.2,0.084,0.436,421.3,5.84,224.6,10.3
7224.4,149.63,649.5,768.4,1856.8,343.22,48.37,23.5,1.745,2.893,1155.8,6.86,242.1,8.7
4987.0,81.11,1032.7,683.9,1301.7,216.19,20.8,9.95,0.389,0.048,751.5,6.08,330.4,12.9
2708.2,0.05,590.3,333.3,373.8,171.28,56.54,14.51,2.264,0.942,392.2,8.18,257.1,11.4
2947.1,76.81,445.5,283.7,862.7,86.08,0.1,16.57,1.229,0.235,387.5,8.39,288.2,11.7
1633.5,50.21,82.4,185.2,385.0,94.58,21.43,7.72,0.987,0.869,206.5,6.94,257.8,13.6
2948.0,69.0,450.1,363.0,583.2,21.7,94.83,10.65,4.806,0.381,204.4,5.81,270.3,10.0
2506.9,37.95,500.4,87.4,573.1,54.9,6.62,6.36,7.02,0.935,280.2,7.86,,12.9
3617.8,104.45,383.7,500.4,410.4,13.96,0.1,2.23,0.257,1.081,460.6,7.59,262.2,16.0
1814.7,54.81,343.3,146.6,443.7,62.61,5.46,12.5,1.02,0.715,136.1,6.56,392.8,10.0
4070.9,100.19,729.6,300.7,644.2,159.07,90.32,6.03,2.836,2.138,203.3,8.16,266.9,8.9
7477.4,57.06,1562.5,392.6,1038.2,316.16,179.44,32.36,1.961,5.023,1234.9,8.43,166.6,9.5
2792.6,67.44,519.4,134.7,359.3,115.16,30.44,14.3,2.711,1.024,340.8,7.17,397.7,12.8
3793.4,143.89,498.3,249.5,1087.8,81.37,77.64,7.17,1.314,0.427,487.1,7.2,322.1,15.5
4510.2,49.84,1081.7,413.3,821.9,163.25,117.81,22.89,3.587,0.631,641.5,6.39,,15.4
2343.2,120.6,403.2,464.3,731.1,23.55,68.65,10.61,1.687,3.848,189.1,7.25,324.1,13.7
3410.0,41.31,609.1,337.5,640.6,229.37,44.43,22.01,2.061,1.696,354.2,6.82,137.4,13.8
3003.6,61.53,400.5,381.8,353.1,101.9,0.1,6.19,0.39,1.214,541.1,6.41,314.8,12.9
3160.9,31.33,498.9,429.9,483.6,95.53,26.66,1.35,1.537,0.324,317.5,5.7,388.5,13.5
1874.7,43.77,254.5,234.8,551.4,134.56,21.72,3.73,2.861,1.195,205.0,6.26,202.0,12.6
3025.1,0.05,518.4,353.6,637.2,45.85,39.11,10.34,1.868,0.653,282.0,6.09,57.1,10.4
4019.0,47.46,1067.4,290.1,752.0,70.29,54.25,12.53,1.599,5.735,363.2,7.13,286.6,15.4
7120.2,25.76,793.2,1267.7,1634.8,128.7,170.54,15.76,2.171,4.31,1169.3,7.31,253.3,14.7
5300.5,116.77,526.5,1019.2,1325.7,204.83,133.55,0.05,1.678,0.175,111.0,7.33,95.2,10.4
10849.9,378.84,2751.1,571.7,3114.4,527.66,147.85,42.76,1.356,1.454,1103.6,6.66,310.5,13.3
1881.1,55.85,318.9,148.7,577.3,103.07,44.75,13.06,2.933,0.51,242.7,6.76,303.0,14.9
5031.1,0.05,737.3,547.4,998.2,460.04,89.86,19.76,1.27,1.058,945.2,8.0,,12.8
3327.6,168.48,772.0,270.9,467.3,0.5,51.63,14.04,0.36,4.189,,6.93,438.9,11.6
11090.9,270.94,1660.5,1555.4,2164.9,578.67,246.8,45.97,4.643,1.499,751.7,8.46,325.1,14.9
1835.4,15.33,497.9,166.8,432.5,52.97,28.59,6.96,0.768,0.814,157.1,6.82,61.0,12.5
1801.1,40.27,385.3,372.1,292.1,50.92,56.67,8.76,0.239,0.466,266.7,7.45,331.9,10.7
2080.5,47.11,323.7,348.7,338.2,57.43,7.27,7.89,2.401,3.222,260.1,5.65,,9.7
833.5,8.33,239.9,107.1,200.6,18.19,9.07,1.98,5.096,1.959,51.9,7.46,,7.0
2174.5,49.95,325.6,350.3,472.0,160.24,30.42,3.06,2.448,1.262,269.6,8.05,187.6,15.9
1890.4,20.58,410.4,310.5,419.6,107.46,35.0,4.73,4.151,0.49,344.2,8.33,333.3,10.3
3262.5,45.46,636.1,317.9,569.3,132.01,82.03,11.84,0.545,0.814,426.0,8.49,226.3,13.9
3659.4,35.52,896.9,319.7,754.5,245.25,54.18,8.66,0.366,6.43,463.2,6.35,194.4,10.2
9188.4,0.05,2371.3,1131.3,1511.9,89.58,33.28,33.34,1.016,1.468,1185.2,7.23,163.5,12.3
5272.5,116.98,957.5,814.4,1441.6,70.58,114.62,20.45,3.383,1.024,720.1,6.85,59.7,12.9
2108.8,60.69,300.1,264.8,594.9,0.5,44.37,9.84,2.27,1.474,146.2,7.19,304.0,9.5
1738.8,48.21,353.0,99.0,189.9,45.23,0.1,9.68,2.412,3.019,,5.97,222.7,13.9
4004.4,129.34,585.1,351.9,657.6,173.13,59.94,12.64,1.599,0.831,451.7,8.07,-23.0,11.6
1350.0,33.57,378.9,158.0,175.8,56.78,3.08,0.52,1.036,0.394,135.9,8.23,257.5,13.1
8945.2,107.42,1671.2,1046.4,1619.1,384.53,86.61,20.66,1.664,1.759,1318.9,6.85,365.8,14.9
6049.1,197.17,978.3,1203.2,1300.5,71.25,47.05,18.68,1.228,2.188,572.5,6.34,119.3,13.5
2249.6,0.05,425.7,145.2,299.2,126.12,48.31,0.05,0.966,2.495,,5.92,178.7,11.8
1066.5,6.92,120.1,149.5,175.6,47.77,16.99,6.16,2.007,4.274,74.2,7.55,294.1,15.9
6716.5,37.19,882.7,1206.0,1073.0,367.13,31.67,22.06,1.119,0.928,907.6,6.44,-5.9,11.9
2783.0,100.75,668.0,586.8,646.9,5.97,61.34,10.47,1.815,0.157,438.8,8.23,,12.2
6264.7,213.89,921.9,650.4,1404.3,289.62,22.11,35.9,0.103,6.357,661.3,7.51,284.7,11.7
1145.2,31.28,146.2,159.9,202.4,18.6,20.2,1.99,1.686,1.142,174.4,7.44,193.9,9.5
2080.5,75.06,430.3,297.1,479.8,66.69,17.66,8.63,1.112,1.952,237.4,7.18,120.2,9.3
2990.4,20.37,715.5,382.2,559.8,151.57,36.11,8.31,4.323,2.195,,5.64,125.0,10.9
3066.2,77.36,662.1,355.8,624.6,128.23,58.36,8.07,0.224,1.582,361.6,8.3,88.8,10.0
2275.5,41.24,522.9,312.7,729.1,52.27,43.63,3.31,1.577,0.459,257.1,7.38,186.7,11.4
4331.7,141.66,615.8,81.0,1301.4,173.81,111.31,27.42,2.889,2.814,537.6,8.48,355.7,13.7
1570.9,28.7,171.1,231.4,223.1,14.72,22.53,3.53,1.275,3.257,204.4,7.11,486.2,11.2
2736.9,38.93,698.1,342.2,738.4,172.44,47.76,12.04,1.076,1.61,253.6,7.63,253.6,12.4
3204.1,90.08,525.0,356.0,860.9,115.01,36.84,0.05,2.881,1.341,573.1,5.67,326.8,11.0
4058.9,134.52,679.7,819.4,613.3,253.16,66.79,21.76,2.224,0.242,476.3,7.4,,17.1
4568.6,45.57,1125.8,424.9,1229.5,134.63,84.59,23.32,2.365,0.175,511.7,7.79,40.8,15.0
1518.1,28.97,315.5,157.7,474.1,44.83,21.58,4.85,0.968,0.83,227.4,7.84,435.2,11.5
1187.4,4.9,240.8,237.1,181.3,29.35,0.68,3.02,0.849,0.745,143.4,7.81,,12.5
6416.4,0.05,1849.5,556.4,1058.4,369.09,113.26,24.38,1.817,6.143,1428.5,6.18,321.9,9.3
3638.7,83.72,537.9,356.6,1022.7,93.92,65.19,27.57,3.074,3.061,406.1,8.43,265.8,11.6
1902.5,55.43,430.7,217.1,449.5,100.63,18.18,0.05,0.303,2.157,255.1,8.49,349.5,10.8
7560.5,180.93,1382.4,1161.5,1913.5,244.59,35.72,34.51,1.318,1.458,680.7,5.73,345.4,13.5
3195.2,0.05,618.0,410.0,768.2,1.54,85.65,3.76,0.889,0.366,494.7,8.31,277.8,10.1
6048.6,89.14,1551.0,413.1,1472.5,172.95,114.51,17.9,1.469,7.675,800.5,6.37,288.8,15.3
3104.2,0.05,637.6,306.4,435.9,50.96,40.87,7.77,2.674,0.94,330.4,7.57,371.3,11.9
10264.5,416.18,2123.9,982.4,2903.2,417.54,60.6,22.0,0.607,0.226,,6.51,209.0,10.3
8545.9,31.7,1996.5,999.1,2479.8,138.37,72.0,25.46,2.436,1.362,577.9,8.4,405.6,12.1
2567.3,99.69,415.3,351.8,529.5,150.24,65.26,1.88,1.0,4.143,351.1,5.8,179.2,13.5
5339.8,182.56,737.1,730.1,1160.8,203.87,85.98,27.01,3.464,4.366,344.5,6.99,257.7,13.0
4390.6,28.5,560.9,215.0,562.6,160.03,46.52,0.05,0.647,0.022,,6.78,312.9,12.3
6776.2,20.38,553.5,1101.5,1699.9,359.94,129.27,27.64,3.041,4.348,470.9,6.48,87.1,13.8
1670.8,42.2,472.5,217.4,424.9,99.04,14.18,3.92,0.348,0.633,188.6,7.44,388.2,13.6
4499.1,33.0,561.7,789.1,973.0,178.16,121.51,2.96,1.713,0.08,381.2,5.89,297.6,13.6
5625.4,121.16,950.3,775.0,1617.1,138.25,145.26,19.15,2.478,3.765,,7.65,580.1,11.4
1037.7,13.24,172.4,170.2,207.5,4.69,11.69,0.05,0.667,3.988,125.6,8.44,458.1,11.4
1465.6,0.05,286.3,203.2,372.1,38.52,14.61,4.51,0.919,1.814,202.0,7.91,,11.6
877.0,0.05,193.6,152.5,139.3,24.25,0.1,0.14,1.484,1.709,51.7,8.08,428.6,11.0
2536.0,59.34,565.6,357.3,554.3,106.87,7.98,9.95,1.072,3.355,226.9,6.58,334.7,12.2
4584.9,53.08,691.6,532.2,960.7,151.75,19.64,5.28,0.834,3.086,728.2,6.47,273.1,12.0
7342.3,85.93,1260.3,1548.5,1714.6,394.71,118.08,15.4,2.916,4.416,1074.5,7.05,84.1,15.3
3116.5,94.86,605.0,484.8,616.5,86.45,38.61,11.18,3.741,1.609,,5.64,107.6,11.0
7920.2,297.81,1327.1,1132.2,1680.0,307.77,33.56,11.52,3.573,6.862,,8.34,250.4,10.0
1302.4,20.72,339.1,89.8,351.1,82.93,16.61,3.76,2.147,11.118,102.5,5.93,200.5,13.3
1072.7,15.97,219.4,73.4,207.9,50.24,20.43,0.05,2.395,0.248,103.3,8.21,272.5,12.1
2883.2,79.3,624.9,379.7,356.4,111.87,55.42,12.29,0.55,3.788,319.8,5.75,387.2,10.6
3753.5,0.05,800.0,472.3,1219.8,104.95,0.1,24.51,1.362,1.386,684.2,7.97,336.5,13.6
2923.1,68.25,697.7,279.0,885.4,79.9,40.85,25.09,1.595,0.981,228.9,5.96,180.4,11.4
862.2,24.38,163.0,108.3,122.8,19.82,3.39,2.74,1.874,1.899,55.0,5.61,342.5,15.0
2825.7,85.35,325.4,518.7,738.6,82.45,62.77,12.93,1.846,0.115,390.0,7.66,158.6,10.1
1362.8,0.05,272.5,201.4,258.7,75.11,28.99,0.05,1.487,1.412,162.0,6.34,135.8,10.8
4455.1,38.22,656.8,331.3,1050.6,158.43,34.82,26.75,2.127,4.094,749.7,7.64,288.2,12.3
3714.3,25.35,570.4,429.2,882.7,48.3,32.95,16.91,1.776,0.48,393.3,7.17,168.5,14.7
1696.1,36.46,355.0,148.9,349.3,127.82,19.18,3.45,1.773,1.112,285.7,5.83,185.8,10.6
2190.1,59.59,529.8,228.8,378.8,101.62,0.1,11.99,0.716,5.61,264.2,8.3,349.4,12.8
1578.9,67.02,285.9,163.3,281.9,18.73,27.93,3.93,0.414,1.119,222.9,6.86,315.8,9.7
2870.9,36.1,561.1,289.7,473.8,89.47,36.8,5.98,1.882,0.887,,7.7,212.8,13.8
5287.4,66.29,1401.8,369.0,899.3,223.22,120.35,20.89,0.96,1.162,599.1,7.0,87.5,10.7
1650.1,61.46,316.9,189.6,356.4,122.26,10.25,1.44,0.752,1.466,267.0,7.31,176.5,13.2
4033.7,98.62,1250.8,393.6,714.2,71.95,40.53,20.34,2.53,1.999,385.0,6.41,444.2,13.3
2168.6,84.61,451.7,6.1,565.8,129.08,6.39,1.93,1.375,3.226,280.0,6.1,346.7,8.4
1852.5,45.07,170.4,374.4,572.8,125.95,12.9,1.67,4.165,1.203,115.2,7.13,392.4,12.4
2795.5,7.39,608.5,457.2,517.7,76.67,15.5,3.3,2.316,3.402,279.1,6.82,275.6,11.0
1601.8,0.05,318.8,168.1,375.4,55.18,36.79,7.24,0.669,1.526,124.4,6.67,214.9,13.0
2138.4,0.05,522.8,258.2,534.6,41.22,20.13,3.78,2.555,0.826,361.0,7.52,340.5,10.3
1452.8,43.48,310.4,106.3,360.8,52.2,23.24,0.44,2.043,2.146,275.4,7.57,378.2,10.8
9689.9,366.56,1677.1,1820.0,2175.9,380.5,115.83,17.33,0.642,2.53,1025.3,5.64,202.0,14.4
3044.7,145.36,361.7,596.4,805.5,161.96,14.75,8.94,0.847,1.633,,6.52,178.7,14.2
1959.0,63.95,332.1,247.4,487.7,121.07,26.75,1.25,2.459,0.117,132.1,6.74,97.9,10.0
3389.3,126.91,465.9,545.5,494.0,84.86,67.08,2.36,0.161,0.372,442.6,5.79,176.2,15.6
2786.7,31.49,420.7,353.9,758.4,1.82,14.88,20.13,0.078,0.672,267.3,6.21,316.9,7.0
2610.8,6.93,546.8,173.7,713.4,103.32,56.06,3.34,1.687,0.664,256.0,5.65,190.4,12.4
4309.2,141.13,1135.4,446.1,750.7,197.66,35.34,10.14,1.579,2.238,798.0,8.49,343.2,9.4
4696.2,123.35,938.0,588.3,1043.8,211.27,52.3,10.64,1.82,0.037,507.9,7.71,446.7,12.7
2168.3,46.86,260.6,220.8,565.9,72.57,41.73,4.68,1.583,2.819,311.1,5.76,252.5,11.5
2110.1,54.46,426.7,234.8,437.7,89.67,20.45,8.95,2.104,0.617,257.7,5.56,248.4,10.0
2527.5,62.8,606.2,294.1,718.8,177.7,38.67,12.38,3.78,0.742,166.3,7.66,304.9,10.5
749.1,29.41,112.0,87.5,271.0,35.68,9.35,1.79,1.459,1.501,34.6,6.82,192.6,10.4
1201.0,47.35,208.1,146.6,207.6,39.07,19.26,0.63,0.271,0.487,167.5,7.86,185.3,12.2
6769.1,190.64,1223.4,525.1,928.3,203.05,0.1,37.56,0.131,4.316,1273.7,8.27,188.2,13.9
7998.3,261.44,1125.8,730.4,1905.4,292.76,2.9,22.47,1.045,0.178,1060.6,7.3,135.4,15.9
2567.2,71.14,545.3,176.2,675.9,186.73,51.16,16.59,1.072,1.175,372.2,6.06,340.0,11.7
4213.0,55.12,732.9,670.3,868.5,153.08,98.15,0.05,0.337,3.787,353.1,7.85,200.3,12.6
3593.0,112.64,722.1,128.5,1103.8,142.3,27.72,12.18,0.052,1.913,577.0,8.37,361.1,14.4
18907.8,0.05,2564.4,3141.4,2641.1,573.92,246.7,129.28,0.972,0.692,3027.1,7.24,302.9,11.1
5835.7,208.97,922.8,1023.9,1526.5,361.69,101.29,13.38,5.077,1.092,537.8,7.55,247.7,10.4
2760.7,5.75,596.6,297.9,507.0,218.64,56.72,7.04,2.033,2.453,,6.51,331.0,15.9
1680.2,40.81,271.1,26.7,543.0,82.35,0.1,6.03,1.887,7.243,,6.64,155.7,11.6
1137.0,8.33,302.8,120.0,386.1,47.36,9.0,2.14,1.24,4.472,169.4,7.7,172.0,12.4
3368.0,95.32,538.9,395.5,586.0,137.2,41.56,8.0,1.044,0.838,327.0,8.28,321.4,8.8
1893.5,36.91,362.1,150.7,354.1,0.5,39.05,4.4,2.207,12.638,134.3,7.39,30.4,11.0
1269.8,0.05,287.8,126.2,344.9,69.72,44.43,2.22,0.39,0.007,172.8,7.87,,15.8
2022.4,53.21,220.6,366.5,398.0,86.32,26.65,11.04,6.078,0.056,99.4,6.01,309.1,12.9
1557.9,17.65,143.3,228.4,338.5,75.66,5.83,6.11,0.428,3.473,208.3,6.14,381.1,11.9
